ISIN,Product,Valuta,Beurs
,,,
,,,
JE00B1VS3333,ETFS PHYSIC SILVER,EUR,XAMS
JE00B1VS3770,ETFS PHYSICALGOLD,EUR,XAMS
JE00B1VS3002,ETFS PHYSPALLADIUM,EUR,XAMS
JE00B1VS3W29,ETFS PHYSPM BASKET,EUR,XAMS
JE00B1VS2W53,ETFSPHYSIPLATINUM,EUR,XAMS
DE000A0LP781,GOLD BULL.SECS 04/UND DZ,EUR,XETR
IE00B42TW061,HSBC FTSE 100 ETF,EUR,XPAR
IE00B44T3H88,HSBC MSCI CHINA,EUR,XPAR
IE00B4X9L533,HSBC MSCI WORLD,EUR,XPAR
IE00B5VX7566,HSBC MSCIJAPAN ETF,EUR,XPAR
IE00B5KQNG97,HSBC SP 500 ETF,EUR,XPAR
IE00B66F4759,IS EO H.Y.CO.BD U.ETF EOD,EUR,XETR
DE000A0F5UH1,IS.S.GL.SE.D.100 U.ETF A,EUR,XETR
IE00B6X2VY59,ISH NLD BD HEDGED,EUR,XAMS
DE0002635299,ISH.S.EU.SEL.DIV.30 U.ETF,EUR,XETR
IE00B0M62Y33,ISHARES AEX,EUR,XAMS
IE00B14X4T88,ISHARES ASIA PACIF,EUR,XAMS
IE00B3DKXQ41,ISHARES B E AGG,EUR,XAMS
IE00B3F81R35,ISHARES B E CORP,EUR,XAMS
IE00B0M63516,ISHARES BRAZIL,EUR,XAMS
IE00B1W57M07,ISHARES BRIC 50,EUR,XAMS
IE00B02KXK85,ISHARES CHINA 25,EUR,XAMS
IE00B57X3V84,ISHARES DJ GLO SUS,EUR,XAMS
IE0032523478,ISHARES E CORP BD,EUR,XAMS
IE00B3B8Q275,ISHARES E COV BOND,EUR,XAMS
IE00B14X4Q57,ISHARES E GOV1-3,EUR,XAMS
IE00B1FZS681,ISHARES E GOV3-5,EUR,XAMS
IE00B1FZS806,ISHARES E GOV7-10,EUR,XAMS
IE00B0M62X26,ISHARES E INF-LINK,EUR,XAMS
IE00B0M63730,ISHARES EAST EX-JP,EUR,XAMS
IE00B0M63953,ISHARES EASTE10/40,EUR,XAMS
IE00B4WXJG34,ISHARES EG 5-7,EUR,XAMS
IE00B0M63177,ISHARES EM MARKETS,EUR,XAMS
IE00B0M62S72,ISHARES ESTOXX DIV,EUR,XAMS
IE00B02KXL92,ISHARES ESTOXX MID,EUR,XAMS
IE00B02KXM00,ISHARES ESTOXX SML,EUR,XAMS
IE00B0M62T89,ISHARES ESTOXX VAL,EUR,XAMS
IE0008471009,ISHARES EURO STX50,EUR,XAMS
IE00B14X4N27,ISHARES EUROP EXUK,EUR,XAMS
IE00B1YZSC51,ISHARES EUROPE,EUR,XAMS
IE0005042456,ISHARES FTSE 100,EUR,XAMS
IE00B1FZS467,ISHARES INFRA GLO,EUR,XAMS
IE00B02KXH56,ISHARES JAPAN,EUR,XAMS
IE00B0M63391,ISHARES KOREA,EUR,XAMS
IE00B27YCK28,ISHARES LATIN AM,EUR,XAMS
IE00B4L5YC18,ISHARES MSCI EM A,EUR,XAMS
IE00B4K48X80,ISHARES MSCI EUR A,EUR,XAMS
IE00B4L5Y983,ISHARES MSCI WOR A,EUR,XAMS
